Key,File,Type,UsedInMainMenu,english
cntLockersTallX51SecureTE,blocks,Furniture,,x51 Lockers (Secure)
cntLockersTallDoubleX51SecureTE,blocks,Furniture,,x51 Lockers (Secure)
cntLockersX51VariantHelperSecureTE,blocks,Furniture,,x51 Lockers (Secure)
cntGunRackSmallArmorX51SecureTE,blocks,Furniture,,x51 Gun / Armor Rack (Secure)
cntGunRackSmallMagazinesX51SecureTE,blocks,Furniture,,x51 Gun / Armor Rack (Secure)
cntGunRackLargeGuns01X51SecureTE,blocks,Furniture,,x51 Gun / Armor Rack (Secure)
cntGunRackLargeGuns02X51SecureTE,blocks,Furniture,,x51 Gun / Armor Rack (Secure)
cntGunRackX51VariantHelperSecureTE,blocks,Furniture,,x51 Gun / Armor Rack (Secure)
cntBookcaseX51SecureTE,blocks,Furniture,,x51 Bookcase (Secure)
cntRetroFridgeX51SecureTE,blocks,Furniture,,x51 Refrigerator (Secure)
cntFridgeStainlessSteelX51SecureTE,blocks,Furniture,,x51 Refrigerator (Secure)
cntFridgeX51VariantHelperSecureTE,blocks,Furniture,,x51 Refrigerator (Secure)
cntPillCaseX51SecureTE,blocks,Furniture,,x51 Pill Case (Secure)
cntWallSafeX51SecureTE,blocks,Furniture,,x51 Wall Safe (Secure)
cntDeskSafeX51SecureTE,blocks,Furniture,,x51 Desk Safe (Secure)
cntSmallSafeX51VariantHelperSecureTE,blocks,Furniture,,x51 Small Safes (Secure)
cntGunSafeX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeWhiteX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeBrownX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeRedX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeOrangeX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeYellowX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeGreenX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeBlueX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafePurpleX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeGreyX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafePinkX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeArmyGreenX51SecureTE,blocks,Furniture,,x51 Gun Safe (Secure)
cntGunSafeX51VariantHelperSecureTE,blocks,Furniture,,x51 Gun Safe (Secure)

cntHardenedChestX51Insecure,blocks,Furniture,,x51 Hardened Chest (Insecure)
cntMunitionsBoxArmyX51Insecure,blocks,Furniture,,x51 Munitions Box (Insecure)
cntMunitionsBoxRedX51Insecure,blocks,Furniture,,x51 Munitions Box (Insecure)
cntMunitionsBoxArmyX51Insecure,blocks,Furniture,,x51 Munitions Box (Insecure)
cntMunitionsBoxOrangeX51Insecure,blocks,Furniture,,x51 Munitions Box (Insecure)
cntMunitionsBoxGreenX51Insecure,blocks,Furniture,,x51 Munitions Box (Insecure)
cntMunitionsBoxBlueX51Insecure,blocks,Furniture,,x51 Munitions Box (Insecure)
cntMunitionsBoxX51VariantHelperTE,blocks,Furniture,,x51 Munitions Box (Insecure)
cntPalletCartonMilitaryBaseX51Insecure,blocks,Furniture,,x51 Ammo Pallet (Insecure)
cntPalletCartonMilitaryCapX51Insecure,blocks,Furniture,,x51 Ammo Pallet (Insecure)
cmtPalletCartonMilitaryTileX51Insecure,blocks,Furniture,,x51 Ammo Pallet (Insecure)
cntPalletCartonMilitaryTileCoveredX51Insecure,blocks,Furniture,,x51 Ammo Pallet (Insecure)
cntPalletCartonMilitaryBaseX51VariantHelperTE,blocks,Furniture,,x51 Ammo Pallet (Insecure)
cntGasPumpX51Insecure,blocks,Furniture,,x51 Gas Pump (Insecure)
cntMiniBeverageCoolerSecureTE,blocks,Furniture,,x51 Mini Beverage Cooler (Insecure)
cntMiniBeverageCoolerUnderCounterSecureTE,blocks,Furniture,,x51 Mini Beverage Cooler (Insecure)
cntMiniBeverageCoolerX51VariantHelperTE,blocks,Furniture,,x51 Mini Beverage Cooler (Insecure)
cntUtilityCartEmptyX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartEmptyBrownX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartEmptyRedX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartEmptyYellowX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartEmptyGreenX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartEmptyBlueX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartEmptyGreyX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartEmptyBlackX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullBrownX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullRedX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullYellowX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullGreenX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullBlueX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullGreyX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartFullBlackX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntJanitorCartFullX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntJanitorCartEmptyX51Insecure,blocks,Furniture,,x51 Utility Cart (Insecure)
cntUtilityCartX51VariantHelperTE,blocks,Furniture,,x51 Utility Cart (Insecure)
cntCabinetBottomX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCupboardCabinetRedTopX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCupboardCornerCNRRedX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCupboardCabinetFullRedTopX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCabinetOldBottomX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntGraniteSinkX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCupboardCabinetOldTopX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCupboardCornerCNROldX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCupboardCabinetFullOldTopX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCabinetOldSinkX51Insecure,blocks,Furniture,,x51 Cabinets (Insecure)
cntCabinetBlockX51VariantHelperSecureTE,blocks,Furniture,,x51 Cabinets (Insecure)
cntNightstandX51Insecure,blocks,Furniture,,x51 NightStand (Insecure)
cntDeskMetalX51Insecure,blocks,Furniture,,x51 Metal Desk (Insecure)
cntDeskWoodX51Insecure,blocks,Furniture,,x51 Wood Desk (Insecure)
cntLockersShortX51Insecure,blocks,Furniture,,x51 Lockers (Insecure)
cntLockersTallX51Insecure,blocks,Furniture,,x51 Lockers (Insecure)
cntLockersTallDoubleX51Insecure,blocks,Furniture,,x51 Lockers (Insecure)
cntLockersX51VariantHelperSecureTE,blocks,Furniture,,x51 Lockers (Insecure)
cntGunRackSmallArmorX51Insecure,blocks,Furniture,,x51 Gun / Armor Rack (Insecure)
cntGunRackSmallMagazinesX51Insecure,blocks,Furniture,,x51 Gun / Armor Rack (Insecure)
cntGunRackLargeGuns01X51Insecure,blocks,Furniture,,x51 Gun / Armor Rack (Insecure)
cntGunRackLargeGuns02X51Insecure,blocks,Furniture,,x51 Gun / Armor Rack (Insecure)
cntGunRackX51VariantHelperSecureTE,blocks,Furniture,,x51 Gun / Armor Rack (Insecure)
cntBookcaseX51Insecure,blocks,Furniture,,x51 Bookcase (Insecure)
cntRetroFridgeX51Insecure,blocks,Furniture,,x51 Refrigerator (Insecure)
cntFridgeStainlessSteelX51Insecure,blocks,Furniture,,x51 Refrigerator (Insecure)
cntFridgeX51VariantHelperSecureTE,blocks,Furniture,,x51 Refrigerator (Insecure)
cntPillCaseX51Insecure,blocks,Furniture,,x51 Pill Case (Insecure)
cntWallSafeX51Insecure,blocks,Furniture,,x51 Wall Safe (Insecure)
cntDeskSafeX51Insecure,blocks,Furniture,,x51 Desk Safe (Insecure)
cntSmallSafeX51VariantHelperSecureTE,blocks,Furniture,,x51 Small Safes (Insecure)
cntGunSafeX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeWhiteX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeBrownX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeRedX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeOrangeX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeYellowX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeGreenX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeBlueX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafePurpleX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeGreyX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafePinkX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeArmyGreenX51Insecure,blocks,Furniture,,x51 Gun Safe (Insecure)
cntGunSafeX51VariantHelperSecureTE,blocks,Furniture,,x51 Gun Safe (Insecure)
